ご契約名称,ＯｒｉｃｏＣａｒｄ　ＴＨＥ　ＰＬＡＴＩＮＵＭ
お支払日,2023年7月27日
ご請求総額,"\215,148"
1回払い分割払い,"\215,148"
リボルビング払い(ショッピング),"\0"
リボルビング払い(キャッシング),"\0"
調整額,"\0"
<利用明細>
ご利用日,ご利用先など,新旧,ご利用者,支払開始年月,支払区分,お支払回数,何回目,ご利用金額,手数料・利息,年利%,その他,当月ご請求額,翌月繰越残高
2023年6月1日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年7月,アド,1,1,"\980",,,"\0","\980","\0"
2023年6月2日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\429",,,"\0","\429","\0"
2023年6月3日,ＡＭＺＮ　ＭＫＴＰ　ＤＥＬＵＸＥＭＢＯＵＲＧ　　　　　　　　　　７０５２　　　　　　　換算レート／　　　１．００００円,*,本人,2023年7月,アド,1,1,"\7,052",,,"\0","\7,052","\0"
2023年6月4日,ニュウマンヨコハマ,*,本人,2023年7月,アド,1,1,"\250",,,"\0","\250","\0"
2023年6月5日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\537",,,"\0","\537","\0"
2023年6月5日,ＰＡＹＰＡＬ　＊ＰＳ　ＮＥＴＷＯＲＫ,*,本人,2023年7月,アド,1,1,"\3,857",,,"\0","\3,857","\0"
2023年6月6日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\1,110",,,"\0","\1,110","\0"
2023年6月6日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\699",,,"\0","\699","\0"
2023年6月6日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\342",,,"\0","\342","\0"
2023年6月6日,ＰＡＹＰＡＬ　＊ＰＳ　ＮＥＴＷＯＲＫ,*,本人,2023年7月,アド,1,1,"\880",,,"\0","\880","\0"
2023年6月8日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\645",,,"\0","\645","\0"
2023年6月8日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年7月,アド,1,1,"\980",,,"\0","\980","\0"
2023年6月9日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\319",,,"\0","\319","\0"
2023年6月9日,エ－ツ－ケアコウシキオンラインショップ,*,本人,2023年7月,アド,1,1,"\3,049",,,"\0","\3,049","\0"
2023年6月9日,フアミリ－マ－トヨコハマアオキチヨ／ＩＤ,*,本人,2023年7月,アド,1,1,"\460",,,"\0","\460","\0"
2023年6月9日,ホンコンチユウボウヨコハマキタニシグ,*,本人,2023年7月,アド,1,1,"\8,320",,,"\0","\8,320","\0"
2023年6月10日,フロツクス　ローカルマーケツト／ＩＤ,*,本人,2023年7月,アド,1,1,"\1,300",,,"\0","\1,300","\0"
2023年6月10日,マ－クイズミナトミライ／ＩＤ,*,本人,2023年7月,アド,1,1,"\4,392",,,"\0","\4,392","\0"
2023年6月10日,ヨコハマロフト／アイデイ／ＩＤ,*,本人,2023年7月,アド,1,1,"\572",,,"\0","\572","\0"
2023年6月11日,メルカリ,*,本人,2023年7月,アド,1,1,"\7,476",,,"\0","\7,476","\0"
2023年6月12日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\429",,,"\0","\429","\0"
2023年6月12日,マイクロソフト,*,本人,2023年7月,アド,1,1,"\1,100",,,"\0","\1,100","\0"
2023年6月13日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\492",,,"\0","\492","\0"
2023年6月13日,クラブオフアライアンス,*,本人,2023年7月,アド,1,1,"\50",,,"\0","\50","\0"
2023年6月15日,ＡＭＺ＊Ｔ－ＪＯＹ,*,本人,2023年7月,アド,1,1,"\3,500",,,"\0","\3,500","\0"
2023年6月15日,ＡＭＺ＊Ｔ－ＪＯＹ,*,本人,2023年7月,アド,1,1,"\1,500",,,"\0","\1,500","\0"
2023年6月15日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年7月,アド,1,1,"\980",,,"\0","\980","\0"
2023年6月16日,ア－クトウキョウベイ,*,本人,2023年7月,アド,1,1,"\16,498",,,"\0","\16,498","\0"
2023年6月18日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\213",,,"\0","\213","\0"
2023年6月18日,ＰＡＹＰＡＬ　＊ＥＢＡＹＪＡＰＡＮ,*,本人,2023年7月,アド,1,1,"\2,976",,,"\0","\2,976","\0"
2023年6月19日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\1,191",,,"\0","\1,191","\0"
2023年6月19日,ＰＡＹＰＡＬ　＊ＡＬＩＰＡＹ　ＥＵＲＬＵＸＥＭＢＯＵＲＧ　　　　　　　　　　８７４３　　　　　　　換算レート／　　　１．００００円,*,本人,2023年7月,アド,1,1,"\8,743",,,"\0","\8,743","\0"
2023年6月19日,コカ．コ－ラシ－モ－ドジハンキ／ＩＤ,*,本人,2023年7月,アド,1,1,"\160",,,"\0","\160","\0"
2023年6月20日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\106",,,"\0","\106","\0"
2023年6月20日,カ　ジヤンパラ,*,本人,2023年7月,アド,1,1,"\58,460",,,"\0","\58,460","\0"
2023年6月20日,ス－パ－マ－ケツトブンカドウシヤルヨコハマア,*,本人,2023年7月,アド,1,1,"\73",,,"\0","\73","\0"
2023年6月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\2,661",,,"\0","\2,661","\0"
2023年6月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\2,660",,,"\0","\2,660","\0"
2023年6月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\2,659",,,"\0","\2,659","\0"
2023年6月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\1,343",,,"\0","\1,343","\0"
2023年6月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\1,079",,,"\0","\1,079","\0"
2023年6月21日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\541",,,"\0","\541","\0"
2023年6月21日,ス－パ－マ－ケツトブンカドウシヤルヨコハマア,*,本人,2023年7月,アド,1,1,"\73",,,"\0","\73","\0"
2023年6月21日,トモズ／ＩＤ,*,本人,2023年7月,アド,1,1,"\2,390",,,"\0","\2,390","\0"
2023年6月21日,ムジルシリヨウヒン,*,本人,2023年7月,アド,1,1,"\990",,,"\0","\990","\0"
2023年6月22日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\803",,,"\0","\803","\0"
2023年6月22日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年7月,アド,1,1,"\980",,,"\0","\980","\0"
2023年6月23日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\331",,,"\0","\331","\0"
2023年6月24日,インリヨウジハンキ／ＩＤ,*,本人,2023年7月,アド,1,1,"\140",,,"\0","\140","\0"
2023年6月24日,クラブオフアライアンス,*,本人,2023年7月,アド,1,1,"\2,600",,,"\0","\2,600","\0"
2023年6月24日,ジエイア－ルヒガシニホンエキナカジ／ＩＤ,*,本人,2023年7月,アド,1,1,"\120",,,"\0","\120","\0"
2023年6月24日,フア－ストキツチンヨコハマパルナ－ド／ＩＤ,*,本人,2023年7月,アド,1,1,"\1,120",,,"\0","\1,120","\0"
2023年6月24日,三井アウトレットパーク横浜ベイサイド,*,本人,2023年7月,アド,1,1,"\26,400",,,"\0","\26,400","\0"
2023年6月24日,三井アウトレットパーク横浜ベイサイド,*,本人,2023年7月,アド,1,1,"\7,884",,,"\0","\7,884","\0"
2023年6月24日,三井アウトレットパーク横浜ベイサイド,*,本人,2023年7月,アド,1,1,"\1,399",,,"\0","\1,399","\0"
2023年6月25日,オ－ケ－　ミナトミライテン／ＩＤ,*,本人,2023年7月,アド,1,1,"\1,861",,,"\0","\1,861","\0"
2023年6月26日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年7月,アド,1,1,"\3,627",,,"\0","\3,627","\0"
2023年6月27日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年7月,アド,1,1,"\645",,,"\0","\645","\0"
2023年6月28日,ドツトエステイ,*,本人,2023年7月,アド,1,1,"\7,800",,,"\0","\7,800","\0"
2023年6月29日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年7月,アド,1,1,"\980",,,"\0","\980","\0"
2023年6月30日,ＣＨＡＴＧＰＴ　ＳＵＢＳＣＲＩＰＴＩＯＮＵＮＩＴＥＤ　ＳＴＡＴＥＳ　　　　　　２０．００　　　　　　　換算レート／　１４８．１０００円,*,本人,2023年7月,アド,1,1,"\2,962",,,"\0","\2,962","\0"
2023年6月30日,ＰＡＹＰＡＬ　＊ＳＰＯＴＩＦＹＵＮＩＴＥＤ　ＫＩＮＧＤＯ　　　　　　　　９８０　　　　　　　換算レート／　　　１．００００円,*,本人,2023年7月,アド,1,1,"\980",,,"\0","\980","\0"


